id_grupo_pesquisa,codigo,base_pesquisa,home_page,id_coordenador,coordenador,area_conhecimento_cnpq,situacao
112,GCB114-01,MATEMÁTICA E CULTURA,Sem home page,23205,BERNADETE BARBOSA MOREY,Matemática,CONSOLIDADO
85541394,GEJ266-11,MATERIAIS AVANÇADOS E MODELAGEM COMPUTACIONAL,Sem home page,5753041,BRAULIO SILVA BARROS,Engenharia de Materiais e Metalúrgica,EM CONSOLIDACÃO
33,GCG032-00,MATERIAIS COMPÓSITOS E CERÂMICOS,Sem home page,18677,EVE MARIA FREIRE DE AQUINO,Engenharias,CONSOLIDADO
91,GCB091-00,MATERIAIS HÍBRIDOS,www,23840,RICARDO SILVEIRA NASAR,Química,CONSOLIDADO
97863467,GEG328-13,Materiais Têxteis e Ciência do Conforto,Sem home page,5754328,NEIL DE OLIVEIRA LIMA FILHO,Engenharia Textil,EM CONSOLIDACÃO
9524540,GEC204-08,MATIZES - GRUPO DE PESQUISA EM CULTURA VISUAL,Sem home page,5751769,EVERARDO ARAUJO RAMOS,Linguística,CONSOLIDADO
22,GCG021-00,MECÂNICA COMPUTACIONAL,Sem home page,60551,CARLOS MAGNO DE LIMA,Engenharias,CONSOLIDADO
108255461,GED377-15,Melhoria da Qualidade em Serviços de Saúde - QualiSaúde,Sem home page,5754293,ZENEWTON ANDRÉ DA SILVA GAMA,Saúde Coletiva,EM CONSOLIDACÃO
911020,GCC168-06,MEMÓRIA E NARRATIVAS: ESPAÇOS DA HISTÓRIA,Sem home page,23166,MARIA DA CONCEICAO FRAGA,História,CONSOLIDADO
127270528,GEC458-18,Metafísica Contemporânea,Sem home page,5756609,DAX FONSECA MORAES PAES NASCIMENTO,Metafísica,EM CONSOLIDACÃO
91849162,GEE295-12,Método do Caso,Sem home page,5752011,MARIA VALERIA PEREIRA DE ARAUJO,Administração,CONSOLIDADO
118572166,GEC430-17,Metodologia de pesquisa em música: Núcleo de projetos de pesquisa e a consolidação de novas propostas para pesquisar na área específica (Influência da música na aprendizagem).,Sem home page,34240,VALERIA LAZARO DE CARVALHO,Artes,EM CONSOLIDACÃO
117682718,GEG396-16,"Microrreologia de blendas, compósitos e nanocompósitos poliméricos",Sem home page,5751827,EDSON NORIYUKI ITO,Engenharia de Materiais e Metalúrgica,EM CONSOLIDACÃO
92151077,GEB356-14,Modelagem climática e de sistemas complexos,Sem home page,5754111,DAVID MENDES,Geociências,CONSOLIDADO
118881674,GEG434-17,Modelagem e Análise Científica de Dados,Sem home page,23033,LUIZ AFFONSO HENDERSON GUEDES DE OLIVEIRA,Engenharia Elétrica,EM CONSOLIDACÃO
124916473,GEG445-17,Modelagem e Simulação de Biossistemas,Sem home page,5755418,BEATRIZ STRANSKY FERREIRA,Multidisciplinar,EM CONSOLIDACÃO
